DISTRICT,Year,Total
BAGALKOT,2012,168
BANGALORE COMMR.,2012,1470
BANGALORE RURAL,2012,248
BELGAUM,2012,597
BELLARY,2012,203
BIDAR,2012,186
BIJAPUR,2012,224
CBPURA,2012,139
CHAMARAJNAGAR,2012,146
CHICKMAGALUR,2012,187
CHITRADURGA,2012,281
DAKSHIN KANNADA,2012,108
DAVANAGERE,2012,281
DHARWAD COMMR.,2012,131
DHARWAD RURAL,2012,70
GADAG,2012,126
GULBARGA,2012,361
HASSAN,2012,321
HAVERI,2012,155
K.G.F.,2012,41
KODAGU,2012,85
KOLAR,2012,104
KOPPAL,2012,111
MANDYA,2012,438
MANGALORE CITY,2012,98
MYSORE COMMR.,2012,94
MYSORE RURAL,2012,397
RAICHUR,2012,376
RAILWAYS,2012,8
RAMANAGAR,2012,271
SHIMOGA,2012,427
TUMKUR,2012,364
UDUPI,2012,88
UTTAR KANNADA,2012,201
YADGIRI,2012,198
