Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,district_encoded
2,7,1,39,0,50,0,0
40,56,40,223,51,229,0,1
13,10,30,90,0,123,0,2
8,12,4,62,0,125,0,3
16,11,5,82,0,49,0,4
7,10,2,90,3,51,0,5
6,19,1,65,0,92,0,6
4,5,7,43,0,15,0,8
8,7,4,57,8,83,0,9
18,0,2,48,0,35,0,10
3,6,1,24,0,25,0,11
22,13,8,84,5,77,0,12
4,4,2,3,0,24,0,13
3,2,3,8,0,8,0,14
2,2,3,10,0,18,0,15
20,21,6,143,1,104,0,16
20,0,4,75,1,68,0,17
3,11,5,42,0,32,0,18
1,7,4,12,0,20,0,19
4,4,4,22,0,14,0,20
17,18,18,42,0,39,0,21
6,12,5,40,1,23,0,22
15,1,7,50,0,72,0,23
2,7,9,8,1,48,0,25
12,4,6,79,2,51,0,26
12,5,1,63,4,52,0,27
1,0,1,0,0,0,0,28
12,10,6,65,0,134,0,30
6,4,28,53,0,44,0,31
2,0,0,16,2,16,0,32
4,3,3,27,2,34,0,33
4,7,2,53,1,63,0,0
32,58,33,237,62,242,0,1
22,0,35,114,0,129,0,2
6,16,7,55,0,102,0,3
11,8,8,68,0,52,0,4
8,13,10,85,2,64,0,5
3,24,5,71,0,90,0,6
4,3,1,26,0,13,0,8
18,9,3,62,6,64,0,9
12,4,7,46,0,32,0,10
9,0,0,22,5,28,0,11
14,15,8,74,2,73,0,12
1,7,5,14,4,24,0,13
0,0,4,26,0,17,0,14
3,3,3,12,0,12,0,15
24,32,4,119,6,73,0,16
11,0,7,64,0,62,0,17
2,7,4,27,0,18,0,18
6,0,3,6,0,21,0,19
4,1,2,27,0,18,0,20
18,12,16,34,0,46,0,21
6,26,3,29,0,49,0,22
30,0,14,45,0,102,0,23
7,5,10,17,0,58,0,25
5,7,5,63,0,73,0,26
6,16,10,72,6,56,0,27
0,0,1,2,0,1,0,28
11,12,4,59,1,159,0,30
9,10,16,60,0,30,0,31
1,4,2,21,0,22,0,32
5,1,1,38,5,33,0,33
12,11,2,44,0,45,0,0
34,11,34,213,39,213,0,1
27,19,31,107,0,130,0,2
11,15,12,45,4,93,0,3
14,6,2,58,0,36,0,4
6,17,5,45,3,67,0,5
9,11,4,68,0,83,0,6
3,2,4,40,0,19,0,8
12,10,4,49,7,89,0,9
19,7,6,43,1,32,0,10
3,5,2,23,4,31,0,11
16,6,10,56,2,78,0,12
3,4,3,3,9,28,0,13
5,0,3,11,0,12,0,14
1,2,1,12,0,13,0,15
14,20,5,150,0,103,0,16
16,9,3,78,0,43,0,17
3,6,1,33,0,17,0,18
5,2,7,21,2,17,0,19
11,2,1,27,0,18,0,20
14,26,10,32,1,52,0,21
12,5,5,18,2,27,0,22
13,6,5,65,0,77,0,23
8,7,5,14,0,44,0,25
4,3,7,59,0,45,0,26
12,16,7,61,5,79,0,27
0,0,1,2,0,0,0,28
15,14,4,73,0,127,0,30
14,1,10,77,1,38,0,31
5,0,0,21,1,23,0,32
0,1,0,37,3,25,0,33
3,14,2,40,0,54,0,0
32,61,44,151,35,227,0,1
29,20,31,104,0,94,0,2
5,12,6,56,0,109,0,3
5,12,5,38,1,44,0,4
8,16,8,27,2,47,0,5
8,11,2,96,0,73,0,6
7,2,4,42,0,19,0,8
7,7,5,55,4,59,0,9
16,5,6,63,0,39,0,10
12,8,1,25,4,26,0,11
8,7,11,61,0,59,0,12
1,6,3,8,1,10,0,13
3,3,2,13,0,4,0,14
1,3,2,21,0,16,0,15
23,35,7,122,0,98,0,16
16,8,9,49,0,72,0,17
9,0,2,28,0,25,0,18
2,7,7,9,0,13,0,19
8,1,2,18,2,11,0,20
16,16,28,32,0,43,0,21
8,4,6,16,0,47,0,22
15,0,19,46,2,43,0,23
4,5,4,6,0,49,0,25
11,4,14,79,0,53,0,26
6,7,5,57,1,67,0,27
0,0,0,3,0,0,0,28
11,9,5,60,2,107,0,30
15,0,16,61,1,33,0,31
0,1,0,21,2,22,0,32
2,2,3,28,0,25,0,33
4,4,1,43,4,68,0,0
38,25,39,167,39,287,0,1
16,20,46,110,0,102,0,2
13,26,10,74,0,108,0,3
17,16,5,53,0,60,0,4
5,8,10,44,3,53,0,5
18,16,0,93,0,105,0,6
7,5,3,43,0,23,0,8
16,4,7,33,3,69,0,9
15,5,6,62,0,29,0,10
14,6,2,40,1,37,0,11
14,9,9,66,2,78,0,12
0,4,3,2,2,14,0,13
4,8,5,21,0,12,0,14
1,2,4,16,0,14,0,15
16,17,12,119,0,112,0,16
10,9,8,49,0,42,0,17
4,6,4,27,0,22,0,18
5,5,7,18,0,20,0,19
10,9,2,18,3,35,0,20
20,24,19,41,0,41,0,21
8,8,4,24,1,40,0,22
17,11,13,56,0,60,0,23
8,14,6,17,0,82,0,25
14,7,13,66,0,57,0,26
8,6,2,66,6,59,0,27
0,0,2,1,0,1,0,28
17,20,7,88,5,158,0,30
14,15,8,59,0,41,0,31
7,2,2,27,1,14,0,32
3,1,2,42,1,40,0,33
12,13,3,45,1,59,0,0
33,29,50,143,2,290,0,1
26,22,26,121,0,99,0,2
22,23,13,107,2,152,0,3
15,22,13,59,0,70,0,4
8,13,10,82,2,69,0,5
18,19,4,89,0,126,0,6
16,5,1,35,0,25,0,8
17,9,4,71,8,89,0,9
16,17,3,52,0,28,0,10
17,5,2,47,6,34,0,11
17,12,11,60,6,79,0,12
3,8,1,13,1,34,0,13
4,2,1,15,0,12,0,14
1,3,4,20,1,17,0,15
18,28,9,78,0,122,0,16
13,7,7,62,0,62,0,17
5,4,1,37,0,17,0,18
3,6,4,18,0,10,0,19
6,1,0,21,2,26,0,20
13,19,16,50,0,47,0,21
6,7,3,28,0,23,0,22
19,13,8,79,0,89,0,23
15,5,10,14,0,94,0,25
10,2,13,43,0,66,0,26
13,12,6,76,5,85,0,27
0,0,2,4,0,1,0,28
23,14,5,61,2,191,0,30
13,5,10,87,0,47,0,31
11,3,4,17,0,24,0,32
7,0,0,49,0,42,0,33
4,17,2,51,3,70,0,0
62,35,54,187,2,290,0,1
29,13,32,99,0,103,0,2
22,28,10,129,2,232,0,3
14,15,7,71,0,62,0,4
11,20,4,103,1,81,0,5
17,13,2,80,0,145,0,6
3,4,2,26,0,18,0,8
11,7,4,55,3,108,0,9
10,7,9,65,1,51,0,10
11,8,2,36,3,46,0,11
10,11,5,49,2,102,0,12
5,12,3,10,1,30,0,13
7,3,0,8,0,10,0,14
4,2,3,31,0,23,0,15
35,38,19,91,0,127,0,16
13,9,11,77,0,83,0,17
8,6,5,35,0,27,0,18
7,6,7,29,0,21,0,19
4,9,4,20,1,43,0,20
19,24,17,44,0,50,0,21
6,5,1,32,0,48,0,22
17,14,15,66,0,95,0,23
13,13,4,25,0,123,0,25
20,4,11,77,0,108,0,26
19,20,3,61,2,97,0,27
0,0,0,0,0,0,0,28
23,21,3,81,3,158,0,30
17,19,10,105,0,77,0,31
11,1,1,22,2,19,0,32
4,6,1,63,2,60,0,33
2,15,6,62,2,56,0,0
54,2,52,179,1,307,0,1
14,7,11,56,0,56,0,2
30,45,9,180,9,233,0,3
11,10,10,41,0,49,0,4
7,17,11,105,2,55,0,5
19,17,1,83,0,135,0,6
7,13,9,37,0,22,0,7
4,3,4,29,0,35,0,8
17,10,8,60,6,123,0,9
18,15,6,82,0,49,0,10
10,6,5,53,4,51,0,11
10,31,9,60,5,102,0,12
3,10,1,16,1,44,0,13
1,0,3,16,0,23,0,14
10,0,5,49,1,34,0,15
25,31,7,75,0,169,0,16
17,24,8,76,0,79,1,17
5,0,0,48,0,33,0,18
5,5,3,14,0,33,0,19
20,5,2,27,1,41,0,20
14,11,14,22,0,21,0,21
6,12,4,26,0,39,0,22
18,13,11,59,0,72,0,23
23,22,4,28,0,151,0,25
13,7,15,68,0,97,0,26
19,21,7,86,0,106,0,27
0,0,0,1,0,0,0,28
17,8,14,62,0,37,0,29
14,23,3,101,5,207,0,30
12,10,16,90,0,80,0,31
11,3,0,17,0,15,0,32
10,9,1,46,7,84,0,33
8,9,7,59,0,58,0,0
65,2,50,251,35,367,0,1
14,4,14,48,0,79,0,2
39,43,10,220,3,311,0,3
11,19,7,66,0,75,0,4
12,4,3,38,0,81,0,5
19,23,0,73,0,139,0,6
11,18,11,43,1,38,0,7
8,7,6,55,0,44,0,8
13,12,1,64,5,104,0,9
26,21,10,102,0,83,0,10
14,5,1,61,2,69,0,11
16,15,12,90,0,112,0,12
6,9,5,12,1,52,0,13
4,1,3,29,0,31,0,14
4,7,0,44,0,34,0,15
32,41,8,68,0,170,0,16
22,15,15,75,0,103,2,17
5,0,3,50,0,47,0,18
9,0,4,10,0,18,0,19
14,8,5,24,2,46,0,20
10,8,11,17,2,18,0,21
14,13,5,32,0,57,0,22
16,19,8,85,0,125,0,23
14,19,6,22,0,188,0,25
21,9,18,89,0,114,0,26
21,18,9,85,4,141,0,27
1,0,1,2,0,0,0,28
12,13,11,70,0,62,0,29
15,27,5,137,3,255,0,30
19,6,13,85,0,79,0,31
5,3,0,26,1,22,0,32
9,10,2,54,5,63,0,33
9,6,5,67,0,59,0,0
65,29,52,308,50,398,0,1
16,18,8,48,0,55,0,2
42,44,10,222,8,273,0,3
12,15,13,80,0,99,0,4
8,19,6,26,1,88,0,5
13,27,5,58,0,160,0,6
9,18,5,34,0,41,0,7
12,5,3,53,0,52,0,8
19,21,11,63,3,90,0,9
26,38,7,158,0,99,0,10
16,9,1,67,2,62,0,11
16,20,9,91,1,120,0,12
1,13,0,16,3,45,0,13
8,11,0,44,0,23,0,14
6,0,1,35,0,53,0,15
34,56,6,56,0,152,0,16
23,25,14,134,0,180,0,17
6,0,2,65,0,65,0,18
7,14,8,20,0,26,0,19
20,7,1,57,0,61,0,20
12,5,4,29,0,12,0,21
10,0,2,29,0,46,0,22
30,35,10,117,0,185,0,23
7,18,4,22,0,59,0,25
43,25,13,93,0,161,0,26
31,32,3,105,0,195,0,27
1,0,1,0,0,0,0,28
14,24,22,53,0,76,0,29
17,24,4,113,8,277,0,30
25,14,14,107,0,78,0,31
12,3,1,31,1,38,0,32
11,11,0,78,3,66,0,33
5,0,3,65,3,47,0,34
15,9,0,38,0,58,0,0
97,206,53,250,40,458,0,1
29,1,10,74,2,83,0,2
45,32,11,221,4,297,0,3
6,15,15,65,1,103,1,4
14,11,7,27,2,77,0,5
7,21,8,66,0,116,1,6
16,16,7,55,0,92,0,7
11,6,9,71,0,62,0,8
10,11,1,53,4,68,1,9
27,24,5,93,0,96,0,10
6,3,1,46,0,38,0,11
11,15,6,65,0,93,0,12
7,18,3,22,2,56,0,13
0,5,2,21,0,22,0,14
5,5,0,48,0,32,0,15
36,73,2,111,0,153,0,16
27,25,32,106,0,264,0,17
13,0,0,76,0,74,0,18
4,11,1,14,0,28,0,19
16,5,5,25,1,57,0,20
17,13,3,21,0,23,0,21
13,0,0,23,0,70,0,22
31,31,12,98,0,230,0,23
16,4,0,27,2,43,0,24
11,17,5,23,0,32,9,25
19,39,7,174,0,158,0,26
29,14,10,149,0,174,0,27
0,1,0,0,0,0,0,28
19,45,23,101,0,71,0,29
23,18,6,123,10,278,0,30
31,14,17,135,0,124,0,31
5,3,1,45,1,42,0,32
11,4,3,73,12,75,0,33
9,0,2,69,0,65,0,34
11,14,6,63,0,72,2,0
90,433,51,321,51,524,0,1
31,41,10,70,0,96,0,2
37,34,5,205,9,307,0,3
18,24,9,48,0,104,0,4
11,24,10,40,2,99,0,5
18,24,4,41,0,128,9,6
12,20,12,56,3,36,0,7
9,8,2,64,0,62,1,8
11,7,4,70,2,89,4,9
26,34,6,140,0,75,0,10
12,9,2,35,8,42,0,11
17,20,8,117,0,119,0,12
6,42,2,16,0,65,0,13
5,3,0,38,0,24,0,14
6,12,2,59,0,47,0,15
29,39,10,132,0,151,0,16
21,19,5,120,1,155,0,17
12,0,3,72,0,68,0,18
10,0,2,10,0,19,0,19
12,3,2,25,0,43,0,20
18,14,1,37,0,34,0,21
7,0,0,17,0,87,0,22
35,39,9,149,1,204,1,23
12,4,1,29,1,48,3,24
12,10,6,22,0,32,12,25
28,47,1,163,0,158,0,26
19,25,1,141,0,190,0,27
2,1,2,2,1,0,0,28
16,53,17,112,0,73,0,29
14,24,6,158,3,222,0,30
33,10,18,171,0,132,0,31
5,3,0,41,1,38,0,32
7,10,1,97,8,78,0,33
9,20,0,97,9,63,0,34
